Thukpa Noodles,Pantry (dry) or Fridge (cooked),Dry: 6-12 months; Cooked: 3-5 days
Tofu,Fridge,3-5 days (unopened); 1-2 days (opened)
Tomato,Fridge or Pantry (depending on ripeness),Fridge: 1-2 weeks (ripe); Pantry: 3-5 days (unripe)
Tori ko Saag,Fridge,3-5 days
Tree Tomato (Rukh Tamatar),Fridge,1-2 weeks
Turnip,Fridge,2-3 weeks
Walnut,Pantry or Fridge,Pantry: 6-12 months; Fridge: 1 year
Watermelon,Fridge or Pantry (whole),Pantry: 1 week; Fridge: 2 weeks (whole); 3-5 days (cut)
Wheat,Pantry,1 year+ (airtight container)
Yellow Lentils,Pantry (dry) or Fridge (cooked),Dry: 1 year+; Cooked: 3-5 days
Kimchi,Fridge,3-6 months (if sealed properly)
Mayonnaise,Fridge,1-2 months (after opening)
Noodle,Pantry (dry) or Fridge (cooked),Dry: 6-12 months; Cooked: 3-5 days
Seaweed,Pantry (dry) or Fridge (fresh),Dry: 1 year+; Fresh: 3-5 days
